         18617743 function calls in 28.158 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    23677   17.255    0.001   17.255    0.001 {built-in method time.sleep}
  1306229    3.094    0.000    3.094    0.000 {built-in method select.select}
  1304972    1.451    0.000    5.832    0.000 /usr/lib/python3/dist-packages/serial/serialposix.py:553(read)
     5028    0.904    0.000    9.094    0.002 /home/hello-robot/.local/lib/python3.10/site-packages/dynamixel_sdk/protocol2_packet_handler.py:249(rxPacket)
     5028    0.722    0.000    0.741    0.000 /home/hello-robot/repos/stretch_body_sandbox/stretch_body/body/stretch_body/dynamixel_X_chain.py:246(get_val)
  1296173    0.577    0.000    0.890    0.000 /home/hello-robot/.local/lib/python3.10/site-packages/dynamixel_sdk/port_handler.py:100(getCurrentTime)
  1304972    0.509    0.000    6.341    0.000 /home/hello-robot/.local/lib/python3.10/site-packages/dynamixel_sdk/port_handler.py:76(readPort)
  1306229    0.507    0.000    0.672    0.000 /usr/lib/python3/dist-packages/serial/serialutil.py:127(__init__)
    15275    0.428    0.000    0.428    0.000 {built-in method posix.read}
     1257    0.425    0.000    0.425    0.000 {built-in method termios.tcdrain}
  1294916    0.369    0.000    1.256    0.000 /home/hello-robot/.local/lib/python3.10/site-packages/dynamixel_sdk/port_handler.py:103(getTimeSinceStart)
  1294916    0.321    0.000    1.577    0.000 /home/hello-robot/.local/lib/python3.10/site-packages/dynamixel_sdk/port_handler.py:93(isPacketTimeout)
     1257    0.254    0.000   10.740    0.009 /home/hello-robot/repos/stretch_body_sandbox/stretch_body/body/stretch_body/dynamixel_X_chain.py:236(sync_read)
  2632759    0.204    0.000    0.204    0.000 {built-in method builtins.len}
  1296173    0.171    0.000    0.171    0.000 {built-in method builtins.round}
  1304972    0.165    0.000    0.165    0.000 {built-in method time.monotonic}
  1323291    0.155    0.000    0.155    0.000 {built-in method time.time}
  1310000    0.129    0.000    0.129    0.000 {method 'extend' of 'list' objects}
  1321504    0.116    0.000    0.116    0.000 /usr/lib/python3/dist-packages/serial/serialutil.py:141(time_left)
     1257    0.103    0.000    0.103    0.000 {built-in method posix.write}
      420    0.058    0.000   17.325    0.041 /home/hello-robot/repos/stretch_body_sandbox/stretch_body/body/stretch_body/hello_utils.py:278(wait_until_ready_to_run)
     6285    0.026    0.000    0.026    0.000 /home/hello-robot/.local/lib/python3.10/site-packages/dynamixel_sdk/protocol2_packet_handler.py:108(updateCRC)
     5028    0.013    0.000    0.017    0.000 /home/hello-robot/.local/lib/python3.10/site-packages/dynamixel_sdk/protocol2_packet_handler.py:190(removeStuffing)
    44970    0.012    0.000    0.012    0.000 /home/hello-robot/.local/lib/python3.10/site-packages/dynamixel_sdk/robotis_def.py:54(DXL_MAKEWORD)
      426    0.010    0.000    0.015    0.000 /home/hello-robot/.local/lib/python3.10/site-packages/numpy/core/_methods.py:196(_var)
     5028    0.008    0.000    9.103    0.002 /home/hello-robot/.local/lib/python3.10/site-packages/dynamixel_sdk/protocol2_packet_handler.py:528(readRx)
     1257    0.008    0.000    0.161    0.000 /usr/lib/python3/dist-packages/serial/serialposix.py:612(write)
     1676    0.008    0.000    0.014    0.000 /home/hello-robot/repos/stretch_body_sandbox/stretch_body/body/stretch_body/dynamixel_hello_XL430.py:260(pull_status)
     1688    0.008    0.000    0.008    0.000 {built-in method numpy.asanyarray}
     1257    0.008    0.000    9.111    0.007 /home/hello-robot/.local/lib/python3.10/site-packages/dynamixel_sdk/group_sync_read.py:90(rxPacket)
     1688    0.007    0.000    0.007    0.000 {method 'reduce' of 'numpy.ufunc' objects}
    16532    0.007    0.000    0.009    0.000 /usr/lib/python3/dist-packages/serial/serialutil.py:137(expired)
     1257    0.007    0.000    0.007    0.000 /home/hello-robot/.local/lib/python3.10/site-packages/dynamixel_sdk/protocol2_packet_handler.py:154(addStuffing)
      419    0.007    0.000   10.766    0.026 /home/hello-robot/repos/stretch_body_sandbox/stretch_body/body/stretch_body/dynamixel_X_chain.py:146(pull_status)
     1257    0.006    0.000    0.609    0.000 /home/hello-robot/.local/lib/python3.10/site-packages/dynamixel_sdk/protocol2_packet_handler.py:212(txPacket)
     5028    0.006    0.000    0.013    0.000 /home/hello-robot/.local/lib/python3.10/site-packages/dynamixel_sdk/group_sync_read.py:130(getData)
     1257    0.005    0.000    0.620    0.000 /home/hello-robot/.local/lib/python3.10/site-packages/dynamixel_sdk/protocol2_packet_handler.py:710(syncReadTx)
      419    0.004    0.000    0.056    0.000 /home/hello-robot/repos/stretch_body_sandbox/stretch_body/body/stretch_body/hello_utils.py:208(mark_loop_start)
     1262    0.004    0.000    0.005    0.000 /home/hello-robot/.local/lib/python3.10/site-packages/numpy/core/_methods.py:66(_count_reduce_items)
     1257    0.004    0.000    0.745    0.001 /home/hello-robot/repos/stretch_body_sandbox/stretch_body/body/stretch_body/dynamixel_X_chain.py:272(<listcomp>)
      836    0.004    0.000    0.019    0.000 /home/hello-robot/.local/lib/python3.10/site-packages/numpy/core/_methods.py:163(_mean)
     1257    0.004    0.000    0.628    0.000 /home/hello-robot/.local/lib/python3.10/site-packages/dynamixel_sdk/group_sync_read.py:80(txPacket)
     5028    0.004    0.000    0.004    0.000 /home/hello-robot/.local/lib/python3.10/site-packages/dynamixel_sdk/group_sync_read.py:121(isAvailable)
     1257    0.004    0.000    0.005    0.000 /usr/lib/python3/dist-packages/serial/serialutil.py:56(to_bytes)
    18573    0.003    0.000    0.003    0.000 /home/hello-robot/.local/lib/python3.10/site-packages/dynamixel_sdk/robotis_def.py:74(DXL_HIBYTE)
       89    0.003    0.000    0.003    0.000 {method 'flush' of '_io.TextIOWrapper' objects}
      836    0.003    0.000    0.022    0.000 /home/hello-robot/.local/lib/python3.10/site-packages/numpy/core/fromnumeric.py:3313(mean)
      419    0.003    0.000   10.829    0.026 /home/hello-robot/repos/stretch_body_sandbox/stretch_body/body/stretch_body/perf_timer.py:54(wrapper)
    15275    0.003    0.000    0.003    0.000 {method 'extend' of 'bytearray' objects}
     1257    0.003    0.000    0.003    0.000 /home/hello-robot/.local/lib/python3.10/site-packages/dynamixel_sdk/group_sync_read.py:39(makeParam)
        1    0.003    0.003   28.158   28.158 /home/hello-robot/repos/stretch_body_sandbox/stretch_body/body/stretch_body/robot.py:79(run)
    18573    0.003    0.000    0.003    0.000 /home/hello-robot/.local/lib/python3.10/site-packages/dynamixel_sdk/robotis_def.py:70(DXL_LOBYTE)
