         7163118 function calls in 16.441 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    15722   12.099    0.001   12.099    0.001 {built-in method time.sleep}
   501792    1.112    0.000    1.112    0.000 {built-in method select.select}
   501057    0.561    0.000    2.103    0.000 /usr/lib/python3/dist-packages/serial/serialposix.py:553(read)
     1470    0.409    0.000    0.416    0.000 /home/hello-robot/repos/stretch_body_sandbox/stretch_body/body/stretch_body/dynamixel_X_chain.py:246(get_val)
     1470    0.343    0.000    3.358    0.002 /home/hello-robot/.local/lib/python3.10/site-packages/dynamixel_sdk/protocol2_packet_handler.py:249(rxPacket)
   498852    0.224    0.000    0.344    0.000 /home/hello-robot/.local/lib/python3.10/site-packages/dynamixel_sdk/port_handler.py:100(getCurrentTime)
   501057    0.201    0.000    2.305    0.000 /home/hello-robot/.local/lib/python3.10/site-packages/dynamixel_sdk/port_handler.py:76(readPort)
   501792    0.193    0.000    0.256    0.000 /usr/lib/python3/dist-packages/serial/serialutil.py:127(__init__)
      735    0.193    0.000    4.246    0.006 /home/hello-robot/repos/stretch_body_sandbox/stretch_body/body/stretch_body/dynamixel_X_chain.py:236(sync_read)
      735    0.170    0.000    0.170    0.000 {built-in method termios.tcdrain}
   498117    0.144    0.000    0.487    0.000 /home/hello-robot/.local/lib/python3.10/site-packages/dynamixel_sdk/port_handler.py:103(getTimeSinceStart)
   498117    0.122    0.000    0.609    0.000 /home/hello-robot/.local/lib/python3.10/site-packages/dynamixel_sdk/port_handler.py:93(isPacketTimeout)
     4498    0.097    0.000    0.097    0.000 {built-in method posix.read}
  1011020    0.079    0.000    0.079    0.000 {built-in method builtins.len}
   498852    0.068    0.000    0.068    0.000 {built-in method builtins.round}
   501057    0.063    0.000    0.063    0.000 {built-in method time.monotonic}
   516089    0.061    0.000    0.061    0.000 {built-in method time.time}
      735    0.055    0.000    0.055    0.000 {built-in method posix.write}
   502527    0.051    0.000    0.051    0.000 {method 'extend' of 'list' objects}
   506290    0.046    0.000    0.046    0.000 /usr/lib/python3/dist-packages/serial/serialutil.py:141(time_left)
      246    0.038    0.000   12.146    0.049 /home/hello-robot/repos/stretch_body_sandbox/stretch_body/body/stretch_body/hello_utils.py:278(wait_until_ready_to_run)
     2205    0.009    0.000    0.009    0.000 /home/hello-robot/.local/lib/python3.10/site-packages/dynamixel_sdk/protocol2_packet_handler.py:108(updateCRC)
      248    0.005    0.000    0.009    0.000 /home/hello-robot/.local/lib/python3.10/site-packages/numpy/core/_methods.py:196(_var)
      984    0.004    0.000    0.004    0.000 {built-in method numpy.asanyarray}
      735    0.004    0.000    0.076    0.000 /usr/lib/python3/dist-packages/serial/serialposix.py:612(write)
    13882    0.004    0.000    0.004    0.000 /home/hello-robot/.local/lib/python3.10/site-packages/dynamixel_sdk/robotis_def.py:54(DXL_MAKEWORD)
      984    0.004    0.000    0.004    0.000 {method 'reduce' of 'numpy.ufunc' objects}
     1470    0.004    0.000    0.005    0.000 /home/hello-robot/.local/lib/python3.10/site-packages/dynamixel_sdk/protocol2_packet_handler.py:190(removeStuffing)
       45    0.004    0.000    0.004    0.000 {method 'flush' of '_io.TextIOWrapper' objects}
      735    0.004    0.000    0.004    0.000 /home/hello-robot/.local/lib/python3.10/site-packages/dynamixel_sdk/protocol2_packet_handler.py:154(addStuffing)
      735    0.004    0.000    0.260    0.000 /home/hello-robot/.local/lib/python3.10/site-packages/dynamixel_sdk/protocol2_packet_handler.py:212(txPacket)
      735    0.003    0.000    0.266    0.000 /home/hello-robot/.local/lib/python3.10/site-packages/dynamixel_sdk/protocol2_packet_handler.py:710(syncReadTx)
      735    0.003    0.000    3.364    0.005 /home/hello-robot/.local/lib/python3.10/site-packages/dynamixel_sdk/group_sync_read.py:90(rxPacket)
      245    0.003    0.000    4.254    0.017 /home/hello-robot/repos/stretch_body_sandbox/stretch_body/body/stretch_body/dynamixel_X_chain.py:146(pull_status)
      490    0.003    0.000    0.005    0.000 /home/hello-robot/repos/stretch_body_sandbox/stretch_body/body/stretch_body/dynamixel_hello_XL430.py:260(pull_status)
      736    0.003    0.000    0.003    0.000 /home/hello-robot/.local/lib/python3.10/site-packages/numpy/core/_methods.py:66(_count_reduce_items)
     1470    0.003    0.000    3.361    0.002 /home/hello-robot/.local/lib/python3.10/site-packages/dynamixel_sdk/protocol2_packet_handler.py:528(readRx)
      735    0.002    0.000    0.270    0.000 /home/hello-robot/.local/lib/python3.10/site-packages/dynamixel_sdk/group_sync_read.py:80(txPacket)
      488    0.002    0.000    0.011    0.000 /home/hello-robot/.local/lib/python3.10/site-packages/numpy/core/_methods.py:163(_mean)
      245    0.002    0.000    0.035    0.000 /home/hello-robot/repos/stretch_body_sandbox/stretch_body/body/stretch_body/hello_utils.py:208(mark_loop_start)
     1470    0.002    0.000    0.004    0.000 /home/hello-robot/.local/lib/python3.10/site-packages/dynamixel_sdk/group_sync_read.py:130(getData)
       91    0.002    0.000    0.002    0.000 {method 'acquire' of '_thread.RLock' objects}
     5233    0.002    0.000    0.003    0.000 /usr/lib/python3/dist-packages/serial/serialutil.py:137(expired)
      488    0.002    0.000    0.013    0.000 /home/hello-robot/.local/lib/python3.10/site-packages/numpy/core/fromnumeric.py:3313(mean)
