         137903 function calls in 16.767 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    19991   16.527    0.001   16.527    0.001 {built-in method time.sleep}
      792    0.055    0.000    0.055    0.000 {method 'flush' of '_io.TextIOWrapper' objects}
      251    0.053    0.000   16.591    0.066 /home/hello-robot/repos/stretch_body_sandbox/stretch_body/body/stretch_body/hello_utils.py:278(wait_until_ready_to_run)
    22685    0.011    0.000    0.011    0.000 {built-in method time.time}
      789    0.007    0.000    0.015    0.000 /usr/lib/python3.10/logging/__init__.py:283(__init__)
     1588    0.007    0.000    0.007    0.000 {method 'acquire' of '_thread.RLock' objects}
      254    0.006    0.000    0.010    0.000 /home/hello-robot/.local/lib/python3.10/site-packages/numpy/core/_methods.py:196(_var)
     1500    0.005    0.000    0.069    0.000 /home/hello-robot/repos/stretch_body_sandbox/stretch_body/body/stretch_body/dynamixel_hello_XL430.py:486(step_sentry)
     1006    0.005    0.000    0.005    0.000 {built-in method numpy.asanyarray}
     1006    0.005    0.000    0.005    0.000 {method 'reduce' of 'numpy.ufunc' objects}
      752    0.003    0.000    0.003    0.000 /home/hello-robot/.local/lib/python3.10/site-packages/numpy/core/_methods.py:66(_count_reduce_items)
      498    0.003    0.000    0.012    0.000 /home/hello-robot/.local/lib/python3.10/site-packages/numpy/core/_methods.py:163(_mean)
     1157    0.003    0.000    0.004    0.000 /home/hello-robot/repos/stretch_body_sandbox/stretch_body/body/stretch_body/dynamixel_hello_XL430.py:522(_update_safety_vel_brake_zone)
      250    0.003    0.000    0.037    0.000 /home/hello-robot/repos/stretch_body_sandbox/stretch_body/body/stretch_body/hello_utils.py:208(mark_loop_start)
     1500    0.002    0.000    0.003    0.000 /home/hello-robot/repos/stretch_body_sandbox/stretch_body/body/stretch_body/dynamixel_hello_XL430.py:539(get_dist_to_limits)
     1000    0.002    0.000    0.004    0.000 /home/hello-robot/repos/stretch_body_sandbox/stretch_body/body/stretch_body/stepper.py:290(step_sentry)
      789    0.002    0.000    0.083    0.000 /usr/lib/python3.10/logging/__init__.py:1680(callHandlers)
      789    0.002    0.000    0.004    0.000 /usr/lib/python3.10/logging/__init__.py:1549(findCaller)
      498    0.002    0.000    0.015    0.000 /home/hello-robot/.local/lib/python3.10/site-packages/numpy/core/fromnumeric.py:3313(mean)
      792    0.002    0.000    0.002    0.000 /usr/lib/python3.10/logging/__init__.py:431(_format)
      789    0.002    0.000    0.002    0.000 {built-in method time.localtime}
      250    0.002    0.000    0.174    0.001 /home/hello-robot/repos/stretch_body_sandbox/stretch_body/body/stretch_body/perf_timer.py:54(wrapper)
      789    0.002    0.000    0.002    0.000 {built-in method time.strftime}
      792    0.002    0.000    0.011    0.000 /usr/lib/python3.10/logging/__init__.py:665(format)
        1    0.002    0.002   16.767   16.767 /home/hello-robot/repos/stretch_body_sandbox/stretch_body/body/stretch_body/robot.py:176(run)
      786    0.002    0.000    0.108    0.000 /usr/lib/python3.10/logging/__init__.py:1455(debug)
      500    0.002    0.000    0.072    0.000 /home/hello-robot/repos/stretch_body_sandbox/stretch_body/body/stretch_body/dynamixel_X_chain.py:276(step_sentry)
      789    0.002    0.000    0.106    0.000 /usr/lib/python3.10/logging/__init__.py:1600(_log)
      500    0.002    0.000    0.052    0.000 /home/hello-robot/repos/stretch_body_sandbox/stretch_body/body/stretch_body/prismatic_joint.py:621(step_sentry)
      250    0.001    0.000    0.172    0.001 /home/hello-robot/repos/stretch_body_sandbox/stretch_body/body/stretch_body/robot.py:157(step)
      792    0.001    0.000    0.058    0.000 /usr/lib/python3.10/logging/__init__.py:1077(flush)
      500    0.001    0.000    0.002    0.000 /home/hello-robot/repos/stretch_body_sandbox/stretch_body/body/stretch_body/prismatic_joint.py:635(_update_safety_vel_brake_zone)
      792    0.001    0.000    0.071    0.000 /usr/lib/python3.10/logging/__init__.py:1088(emit)
      125    0.001    0.000    0.001    0.000 /home/hello-robot/repos/stretch_body_sandbox/stretch_body/body/stretch_body/robot_monitor.py:101(monitor_dynamixel_flags)
      792    0.001    0.000    0.081    0.000 /usr/lib/python3.10/logging/__init__.py:955(handle)
      789    0.001    0.000    0.001    0.000 /usr/lib/python3.10/genericpath.py:121(_splitext)
     3626    0.001    0.000    0.001    0.000 {built-in method builtins.hasattr}
      789    0.001    0.000    0.002    0.000 /usr/lib/python3.10/posixpath.py:140(basename)
      254    0.001    0.000    0.011    0.000 /home/hello-robot/.local/lib/python3.10/site-packages/numpy/core/_methods.py:263(_std)
